Region,Country,Year,Diversity_rank,RDI_score,Diveristy_level,Buddhists,Christians,Hindus,Jews,Muslims,Other_Religions,Religiously_Unaffiliated,Level,Countrycode
World,All World,2010,,8.9824572,Very high,4.88203,30.584753,14.977995,.19818659,23.869791,2.19508,23.292166,3,900
World,All World,2020,,8.9667215,Very high,4.1110005,28.771444,14.936468,.18742074,25.648489,2.1832855,24.16189,3,900
Asia-Pacific,All Asia-Pacific,2010,,8.8041687,Very high,8.146677,6.1387029,25.278584,.0043948125,24.763258,2.6490867,33.019299,2,90001
Asia-Pacific,All Asia-Pacific,2020,,8.738061,Very high,6.9554491,5.9153156,25.671322,.0040718638,26.132376,2.4761419,32.845325,2,90001
Europe,All Europe,2010,,4.724689,Moderate,.2712456,74.643921,.22280331,.18723944,5.2958255,.67352021,18.705446,2,90002
Europe,All Europe,2020,,5.6268291,High,.33728257,67.087288,.28589082,.16962473,6.0436268,.79960239,25.276688,2,90002
Latin America-Caribbean,All Latin America-Caribbean,2010,,2.1201482,Moderate,.057280548,90.101936,.1128431,.07587067,.1206103,1.6907456,7.8407125,2,90003
Latin America-Caribbean,All Latin America-Caribbean,2020,,3.1329558,Moderate,.050572522,84.631409,.10759807,.060482305,.1165746,3.0950298,11.938336,2,90003
Middle East-North Africa,All Middle East-North Africa,2010,,1.3487618,Low,.018161742,3.318749,.56061095,1.6217284,93.967026,.14352216,.37020186,2,90004
Middle East-North Africa,All Middle East-North Africa,2020,,1.3040018,Low,.020175267,2.9381886,.7331242,1.5439178,94.183472,.15842296,.42270288,2,90004
North America,All North America,2010,,4.3631721,Moderate,1.1475023,77.186493,.67531604,1.7515265,1.1247675,.92664224,17.18775,2,90005
North America,All North America,2020,,5.9694538,High,1.3367914,62.929474,.9580192,1.6117562,1.5659525,1.3727281,30.225277,2,90005
Sub-Saharan Africa,All Sub-Saharan Africa,2010,,6.005877,High,.0065470608,61.728931,.15527757,.009579205,31.98299,3.0294383,3.0872374,2,90006
Sub-Saharan Africa,All Sub-Saharan Africa,2020,,5.9104943,High,.006358556,62.019115,.1300505,.0046234992,32.782265,2.4661214,2.5914669,2,90006
Asia-Pacific,Afghanistan,2010,199,.058420897,Very low,.01998632,.1002244,.00035473987,.00010642195,99.749184,.1214947,.0086524095,1,4
Asia-Pacific,Afghanistan,2020,200,.032174885,Very low,.020000853,.019379199,.00012829648,.000025659296,99.861969,.090042546,.0084565645,1,4
Europe,Albania,2010,45,5.3388863,Moderate,0,20.28347,0,.0095936852,70.152901,.016603233,9.5374289,1,8
Europe,Albania,2020,61,4.7514939,Moderate,.00015821807,17.815659,.00070793473,.010049576,74.507225,.013315931,7.6528878,1,8
Middle East-North Africa,Algeria,2010,180,.32947323,Very low,.014109505,.29067931,0,.00015195629,98.571457,.038876127,1.0847238,1,12
Middle East-North Africa,Algeria,2020,182,.37242523,Very low,.015000784,.29498956,0,.00012998551,98.382347,.041328549,1.2662071,1,12
Sub-Saharan Africa,Angola,2010,126,1.8431664,Low,.0038520496,91.574677,.013696175,.0021400275,.16690551,3.7618802,4.47685,1,24
Sub-Saharan Africa,Angola,2020,143,1.5223813,Low,.0023931684,93.044708,.0092735281,.0011965842,.255656,.57196772,6.1148081,1,24
Latin America-Caribbean,Argentina,2010,107,2.5050216,Moderate,.029148331,88.07093,.0024817444,.44282106,1.0000821,.72703087,9.7275085,1,32
Latin America-Caribbean,Argentina,2020,118,2.4368269,Moderate,.031062232,88.453941,.0025738536,.38497812,.92919636,.96533829,9.2329092,1,32
Asia-Pacific,Armenia,2010,176,.565211,Very low,.0067881914,97.532471,.004751734,.0033940957,.023529492,1.2229218,1.2061422,1,51
Asia-Pacific,Armenia,2020,171,.61517316,Very low,.010692867,97.312691,.0074850074,.0035642891,.26675764,1.2209328,1.1778806,1,51
Latin America-Caribbean,Aruba,2010,78,3.6034043,Moderate,.47836637,82.22213,.24914916,.35254142,.17938739,10.906172,5.6122522,1,533
